IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
0,H7,IPAD_X0Y19,VN_0,70.744,71.455,,,,,,,,,,,,,,,,,,,,
0,G8,IPAD_X0Y18,VP_0,73.841,74.583,,,,,,,,,,,,,,,,,,,,
0,P9,,DONE_0,79.514,80.313,,,,,,,,,,,,,,,,,,,,
0,J8,,DXP_0,77.2,77.976,,,,,,,,,,,,,,,,,,,,
0,F7,,GNDADC_0,,,,,,,,,,,,,,,,,,,,,,
0,F8,,VCCADC_0,,,,,,,,,,,,,,,,,,,,,,
0,H8,,VREFP_0,65.142,65.797,,,,,,,,,,,,,,,,,,,,
0,B8,,VCCBATT_0,,,,,,,,,,,,,,,,,,,,,,
0,A7,,TCK_0,36.649,37.017,,,,,,,,,,,,,,,,,,,,
0,J7,,DXN_0,91.869,92.792,,,,,,,,,,,,,,,,,,,,
0,G7,,VREFN_0,76.107,76.872,,,,,,,,,,,,,,,,,,,,
0,A8,,CCLK_0,47.178,47.653,,,,,,,,,,,,,,,,,,,,
0,M7,,M0_0,47.845,48.326,,,,,,,,,,,,,,,,,,,,
0,M8,,M1_0,39.928,40.329,,,,,,,,,,,,,,,,,,,,
0,P8,,INIT_B_0,78.139,78.925,,,,,,,,,,,,,,,,,,,,
0,P7,,TDI_0,75.246,76.002,,,,,,,,,,,,,,,,,,,,
0,P6,,TDO_0,77.408,78.186,,,,,,,,,,,,,,,,,,,,
0,M9,,M2_0,55.397,55.954,,,,,,,,,,,,,,,,,,,,
0,N7,,CFGBVS_0,58.726,59.316,,,,,,,,,,,,,,,,,,,CFGBVS_0,
0,L7,,PROGRAM_B_0,32.885,33.216,,,,,,,,,,,,,,,,,,,,
0,M6,,TMS_0,42.472,42.899,,,,,,,,,,,,,,,,,,,,
0,N6,,VCCO_0,,,,,,,,,,,,,,,,,,,,,VCCO_0,
0,N8,,VCCO_0,,,,,,,,,,,,,,,,,,,,,VCCO_0,
14,H11,IOB_X0Y24,IO_L13P_T2_MRCC_14,34.401,34.747,,,ds_clk_out[6],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
14,H12,IOB_X0Y23,IO_L13N_T2_MRCC_14,31.887,32.208,,,ds_clk_out[5],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
14,H13,IOB_X0Y22,IO_L14P_T2_SRCC_14,48.378,48.864,,,ds_clk_out[4],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
14,H14,IOB_X0Y21,IO_L14N_T2_SRCC_14,45.286,45.741,,,ds_clk_out[3],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
14,J11,IOB_X0Y16,IO_L17P_T2_D30_14,53.774,54.314,,,ds_clk_out[2],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
14,J12,IOB_X0Y15,IO_L17N_T2_D29_14,46.299,46.764,,,ds_clk_out[1],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
